date,entry_time,direction,model,grade,score,entry,sl,tp,current_sl,risk_pts,breakeven_moved,bars_held,qty,exit_price,reason,pts,pnl,exit_time
2026-01-09,09:45,BUY,Turtle Soup Model (PDL),A+,92,25887.7,25844.62,25973.86,25844.62,43.080000000001746,False,10,50,25844.62,SL,-43.080000000001746,-2154.0,10:35
2026-01-13,10:05,BUY,Unicorn Model,A+,91,25760.65,25704.46,25873.03,25760.65,56.19000000000233,True,7,50,25760.65,BREAKEVEN,0.0,0.0,10:40
2026-01-13,14:10,BUY,Turtle Soup Model (PWL),A+,87,25636.55,25617.51,25674.63,25617.51,19.040000000000873,False,2,50,25617.51,SL,-19.040000000000873,-952.0,14:20
2026-01-14,09:20,SELL,Judas Swing Model,A+,91,25705.15,25747.53,25620.39,25747.53,42.37999999999738,False,2,50,25747.53,SL,-42.37999999999738,-2119.0,09:30
2026-01-16,09:45,SELL,Judas Swing Model,A,81,25742.95,25748.36,25732.13,25748.36,5.4099999999998545,False,1,50,25748.36,SL,-5.4099999999998545,-270.5,09:50
2026-01-22,14:45,SELL,Turtle Soup Model (PDH),A+,87,25298.45,25322.94,25249.47,25322.94,24.489999999997963,False,3,50,25249.47,TP,48.97999999999956,2449.0,15:00
2026-01-27,09:35,BUY,Judas Swing Model,A,76,25091.5,24925.76,25422.98,24925.76,165.7400000000016,False,68,50,25202.9,SQUAREOFF,111.40000000000146,5570.0,15:15
2026-01-28,09:30,SELL,Judas Swing Model,A,83,25309.3,25378.08,25171.74,25309.3,68.78000000000247,True,18,50,25309.3,BREAKEVEN,0.0,0.0,11:00
2026-01-28,13:30,SELL,Turtle Soup Model (PDH),A+,92,25232.8,25254.95,25188.5,25232.8,22.150000000001455,True,3,50,25198.8,NEAR_TP,34.0,1700.0,13:45
2026-01-29,10:00,BUY,Turtle Soup Model (PDL),A+,87,25193.0,25162.04,25254.92,25193.0,30.959999999999127,True,4,50,25193.0,BREAKEVEN,0.0,0.0,10:20
2026-01-29,10:15,BUY,Silver Bullet Model,A,77,25210.85,25182.78,25266.99,25182.78,28.06999999999971,False,1,50,25182.78,SL,-28.06999999999971,-1403.5,10:20
2026-01-29,14:00,SELL,Turtle Soup Model (PWH),A+,87,25416.9,25440.77,25369.16,25416.9,23.86999999999898,True,2,50,25416.9,BREAKEVEN,0.0,0.0,14:10
2026-01-30,09:30,BUY,Judas Swing Model,A+,86,25261.4,25213.5,25357.2,25261.4,47.900000000001455,True,20,50,25261.4,BREAKEVEN,0.0,0.0,11:10
2026-01-30,14:00,SELL,Turtle Soup Model (PWH),A+,87,25338.8,25356.73,25302.94,25356.73,17.93000000000029,False,1,50,25356.73,SL,-17.93000000000029,-896.5,14:05
2026-02-01,09:45,SELL,Judas Swing Model,A+,91,25334.7,25351.34,25301.42,25351.34,16.639999999999418,False,1,50,25301.42,TP,33.280000000002474,1664.0,09:50
2026-02-01,10:25,SELL,Turtle Soup Model (PDH),A+,87,25368.25,25380.6,25343.55,25368.25,12.349999999998545,True,2,50,25368.25,BREAKEVEN,0.0,0.0,10:35
2026-02-03,09:25,BUY,Judas Swing Model,A+,91,25786.25,25747.39,25863.97,25747.39,38.86000000000058,False,2,50,25747.39,SL,-38.86000000000058,-1943.0,09:35
2026-02-04,09:35,SELL,Judas Swing Model,A,81,25729.75,25796.16,25596.93,25796.16,66.40999999999985,False,6,50,25796.16,SL,-66.40999999999985,-3320.5,10:05
2026-02-05,09:20,BUY,Judas Swing Model,A,76,25682.3,25676.98,25692.94,25676.98,5.319999999999709,False,1,50,25676.98,SL,-5.319999999999709,-266.0,09:25
2026-02-06,09:20,BUY,Turtle Soup Model (PDL),A+,87,25587.85,25574.71,25614.13,25574.71,13.139999999999418,False,1,50,25574.71,SL,-13.139999999999418,-657.0,09:25
2026-02-06,09:45,BUY,Judas Swing Model,A,76,25569.0,25518.28,25670.44,25518.28,50.720000000001164,False,5,50,25518.28,SL,-50.720000000001164,-2536.0,10:10
2026-02-09,09:20,BUY,Judas Swing Model,A+,91,25821.85,25787.82,25889.91,25787.82,34.029999999998836,False,3,50,25787.82,SL,-34.029999999998836,-1701.5,09:35
2026-02-10,09:25,SELL,Turtle Soup Model (PDH),A+,87,25917.6,25927.31,25898.18,25927.31,9.710000000002765,False,1,50,25927.31,SL,-9.710000000002765,-485.5,09:30
